Kode;Nama_bahan;Sumber;Air;ENERGI;PROTEIN;LEMAK;KH;SERAT;ABU;KALSIUM;FOSFOR;BESI;NATRIUM;KALIUM;TEMBAGA;SENG;RETINOL;B-KAR;KAR -TOTAL;THIAMIN;RIBOFLAVIN;NIASIN;VIT_C;BDD
CP056;rempeyek kacang tolo;KZGPI- 1990;61;451;112;202;597;18;28;156;221;46;0;0;0;0;0;0;10;2;0;0;0;100
CP057;rempeyek kacang uci;KZGPI- 1990;4;497;17;276;508;24;34;166;89;67;0;0;0;0;0;0;0;5;0;0;0;100
CP058;sayur lebui;KZGMI-2001;839;64;21;6;125;57;9;21;2;1;124;0;2;7;0;14;0;0;0;1;0;100
CP059;saridele bubuk;DABM-1964;3;344;30;20;43;62;4;450;500;4;56;146;299;4;0;0;0;7;16;2;10;100
CP060;susu kedelai;DABM-1964;87;41;35;25;5;2;2;50;45;7;128;25723;12;1;0;0;0;8;5;7;2;100
CP061;tahu mentah;KZGPI- 1990;822;80;109;47;8;1;14;223;183;34;2;2879;19;8;0;118;2000;1;8;1;0;100
CP062;tahu goreng;KZGPI- 1990;773;115;97;85;25;1;2;229;200;41;7;506;9;13;0;0;200;1;24;0;0;100
CP063;tahu telur;KZGMS-1993;41.8;328;12.6;19.9;24.6;0.4;1.1;492;238;4.9;755;68.2;0;0;73;0;0;0.42;0;0;0;100
CP064;takwa;KZGPI- 1990;722;148;138;85;4;0;16;140;214;85;3;0;3;13;0;0;0;2;1;8;0;100
CP065;tauco;KZGPI- 1990;54;184;114;55;222;19;69;72;463;6;1766;79;39;1;0;0;1860;32;2;8;0;100
CP066;tauco cap beruang cake;KZGPI- 1990;114;347;74;52;676;32;84;63;106;62;0;233;0;0;0;0;920;35;0;0;0;100
CP067;tauco cap das cake;KZGPI- 1990;102;358;75;43;704;31;76;94;94;45;0;0;0;0;0;0;664;29;0;0;0;100
CP068;tauco cap meong;KZGPI- 1990;597;159;74;49;213;16;67;183;84;101;1547;0;34;9;0;0;936;46;18;7;0;100
CP069;tauji cap singa;KZGPI- 1990;304;277;91;47;496;12;62;68;106;3;0;2041;0;0;0;0;504;15;0;0;0;100
CP070;tempe bongkrek;DABM-1964;72.5;119;4.4;3.5;18.3;0;146.3;27;100;2.6;0;0;0;0;0;0;472;0.08;0;0;0;100
CP071;tempe gembus p3g;KZGPI- 1990;819;73;57;13;103;42;8;204;80;15;0;0;0;0;0;0;936;9;1;9;0;100
CP072;tempe gembus yogya;KZGPI- 1990;807;76;68;7;106;53;11;76;142;165;0;0;0;0;0;0;0;79;1;1;0;100
CP073;tempe kacang babi;KZGPI- 1990;64;139;125;8;219;18;12;68;182;26;0;0;0;0;0;0;22;1;0;0;0;100
CP074;tempe kacang belimbing;KZGPI- 1990;582;212;175;10;129;29;14;186;160;22;0;0;0;0;0;0;0;2;0;0;0;100
CP075;tempe kedelai + jagung;KZGPI- 1990;706;143;12;55;114;19;6;155;156;68;0;0;0;0;0;0;20;33;15;12;0;100
CP076;tempe kedelai murni goreng;KZGPI- 1990;368;350;245;266;104;42;18;202;296;49;22;0;8;25;0;0;0;24;6;33;0;100
CP077;tempe kedelai murni mentah;KZGPI- 1990;553;201;208;88;135;14;16;155;326;4;9;6267;57;17;0;0;1320;19;59;49;0;100
CP078;tempe koro benguk;DABM-1964;64;141;102;13;232;0;13;42;15;26;0;234;0;0;0;0;78;9;0;0;0;100
CP079;tempe lamtoro;KZGPI- 1990;668;128;107;5;213;71;7;203;108;6;0;0;0;0;0;0;0;17;0;0;2;100
CP080;tempe lamtoro var gung dengan kulit;KZGPI- 1990;651;146;117;23;196;76;13;128;41;68;0;0;0;0;0;0;0;19;0;14;0;100
CP081;tempe lamtoro var gung tanpa kulit;KZGPI- 1990;671;131;18;8;13;13;11;95;154;124;0;0;0;0;0;0;121;2;2;26;0;100
CP082;tempe pasar;KZGPI- 1990;683;150;14;77;91;14;9;517;202;15;7;1659;4;12;0;0;1370;17;44;36;0;100
CP083;tempe pasar goreng;KZGPI- 1990;429;336;20;28;78;34;13;156;350;3;20;5662;8;22;0;0;5900;1;5;3;0;100
CP084;tepung hunkwe (pati kacang ijo);DABM-1964;10;364;45;1;835;161;1;50;100;1;15;12329;93;27;0;0;10;0;23;22;0;100
CP085;tepung jalejo;BKP;10;388;19;7.5;61.2;5.8;2.3;101;663;2;3;712;0.6;1.9;0;1000;0;0.02;0.7;1.6;9;100
CP086;tepung kacang kedelai;DABM-1964;9;347;359;206;299;58;4;195;544;84;52;25226;43;26;0;0;140;77;32;21;0;100
DP001;bayam kukus;KZGPI-1990;90.7;30;1.3;0.7;5.8;1.2;1.6;239;35;5.7;15;431;0.1;0.3;0;2699;3750;0.02;0.1;0.9;32;100
DP002;bayam rebus;KZGPI-1990;93.5;23;1.2;0.6;3.7;1.1;1;150;35;0.5;16;308.4;0.2;0.3;0;3282;2864;0.02;0.1;0.9;19;100
